Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
68.000000	0.001000	0.000385	0.000388	0.782959	0.778338	
69.000000	0.001000	0.000385	0.000384	0.782152	0.782554	
70.000000	0.001000	0.000385	0.000384	0.782722	0.782482	
71.000000	0.001000	0.000383	0.000387	0.785392	0.780925	
72.000000	0.001000	0.000381	0.000387	0.788084	0.775177	
73.000000	0.001000	0.000383	0.000385	0.786509	0.776859	
74.000000	0.001000	0.000382	0.000383	0.785156	0.784588	
75.000000	0.001000	0.000380	0.000383	0.789860	0.782454	
76.000000	0.001000	0.000381	0.000388	0.787398	0.778445	
77.000000	0.001000	0.000379	0.000388	0.790721	0.777581	
78.000000	0.001000	0.000380	0.000384	0.790313	0.781427	
79.000000	0.001000	0.000379	0.000383	0.789657	0.785932	
80.000000	0.001000	0.000379	0.000386	0.791053	0.780479	
81.000000	0.001000	0.000378	0.000383	0.792710	0.788520	
82.000000	0.001000	0.000378	0.000380	0.792950	0.789692	
83.000000	0.001000	0.000376	0.000385	0.794624	0.780689	
84.000000	0.001000	0.000377	0.000383	0.793313	0.786682	
85.000000	0.001000	0.000376	0.000384	0.794658	0.785412	
86.000000	0.001000	0.000375	0.000380	0.796032	0.787159	
87.000000	0.001000	0.000376	0.000383	0.794522	0.785414	
88.000000	0.001000	0.000374	0.000383	0.796381	0.787533	
89.000000	0.001000	0.000375	0.000381	0.797551	0.792129	
90.000000	0.001000	0.000374	0.000379	0.796376	0.789875	
91.000000	0.001000	0.000375	0.000381	0.796782	0.791897	
92.000000	0.001000	0.000373	0.000382	0.798537	0.790889	
93.000000	0.001000	0.000373	0.000380	0.799597	0.788172	
94.000000	0.001000	0.000372	0.000382	0.799828	0.795477	
95.000000	0.001000	0.000373	0.000378	0.799065	0.795373	
96.000000	0.001000	0.000370	0.000379	0.803364	0.793748	
97.000000	0.001000	0.000371	0.000382	0.801301	0.785907	
98.000000	0.001000	0.000370	0.000380	0.802065	0.792810	
99.000000	0.001000	0.000370	0.000383	0.803419	0.787942	
100.000000	0.001000	0.000369	0.000380	0.804037	0.791858	
101.000000	0.001000	0.000369	0.000380	0.803084	0.791793	
102.000000	0.001000	0.000367	0.000382	0.805334	0.788008	
103.000000	0.001000	0.000369	0.000383	0.804590	0.791279	
104.000000	0.001000	0.000366	0.000379	0.807918	0.789438	
105.000000	0.001000	0.000368	0.000378	0.804504	0.791949	
106.000000	0.001000	0.000367	0.000381	0.805716	0.791915	
107.000000	0.001000	0.000365	0.000381	0.808887	0.792889	
108.000000	0.001000	0.000366	0.000379	0.808241	0.792691	
109.000000	0.001000	0.000367	0.000379	0.807334	0.796917	
110.000000	0.001000	0.000365	0.000378	0.807493	0.796386	
111.000000	0.001000	0.000367	0.000383	0.807493	0.788857	
112.000000	0.001000	0.000365	0.000379	0.808728	0.792687	
113.000000	0.001000	0.000365	0.000381	0.807976	0.795628	
114.000000	0.001000	0.000364	0.000381	0.811505	0.793973	
115.000000	0.001000	0.000364	0.000380	0.808739	0.793903	
116.000000	0.001000	0.000363	0.000381	0.811998	0.792800	
117.000000	0.001000	0.000362	0.000378	0.812917	0.795344	
118.000000	0.001000	0.000363	0.000380	0.811663	0.794511	
119.000000	0.001000	0.000364	0.000376	0.811638	0.799985	
120.000000	0.001000	0.000362	0.000378	0.813561	0.796138	
121.000000	0.001000	0.000362	0.000377	0.812705	0.799198	
122.000000	0.001000	0.000361	0.000381	0.812146	0.794645	
123.000000	0.001000	0.000361	0.000383	0.814113	0.789708	
124.000000	0.001000	0.000362	0.000382	0.812498	0.791242	
125.000000	0.001000	0.000360	0.000377	0.814518	0.798586	
126.000000	0.001000	0.000359	0.000377	0.815182	0.798223	
127.000000	0.001000	0.000362	0.000378	0.813010	0.794717	
128.000000	0.001000	0.000360	0.000378	0.815423	0.801404	
129.000000	0.001000	0.000358	0.000378	0.817833	0.798481	
130.000000	0.001000	0.000359	0.000377	0.815635	0.798506	
131.000000	0.001000	0.000359	0.000376	0.817044	0.798933	
132.000000	0.001000	0.000359	0.000378	0.815530	0.794776	
133.000000	0.001000	0.000358	0.000383	0.817770	0.797404	
134.000000	0.001000	0.000358	0.000378	0.819288	0.797699	
135.000000	0.001000	0.000358	0.000376	0.819193	0.798276	
136.000000	0.001000	0.000359	0.000380	0.816419	0.798525	
137.000000	0.001000	0.000358	0.000376	0.818288	0.797648	
138.000000	0.001000	0.000356	0.000378	0.820387	0.796020	
139.000000	0.001000	0.000358	0.000381	0.817614	0.795014	
140.000000	0.001000	0.000356	0.000379	0.820356	0.799445	
141.000000	0.001000	0.000357	0.000377	0.820508	0.795429	
142.000000	0.001000	0.000354	0.000380	0.822982	0.790046	
143.000000	0.001000	0.000355	0.000378	0.820684	0.799840	
144.000000	0.001000	0.000355	0.000378	0.819772	0.801926	
145.000000	0.001000	0.000355	0.000377	0.822502	0.797416	
146.000000	0.001000	0.000353	0.000378	0.823085	0.800696	
147.000000	0.001000	0.000355	0.000378	0.822644	0.800400	
148.000000	0.001000	0.000355	0.000374	0.823279	0.803943	
149.000000	0.001000	0.000353	0.000376	0.824489	0.799401	
150.000000	0.001000	0.000355	0.000378	0.820648	0.796395	
151.000000	0.000100	0.000345	0.000370	0.830563	0.808567	
152.000000	0.000100	0.000341	0.000369	0.835132	0.808865	
153.000000	0.000100	0.000341	0.000369	0.834076	0.811871	
154.000000	0.000100	0.000340	0.000368	0.837144	0.811705	
155.000000	0.000100	0.000339	0.000369	0.837303	0.811832	
156.000000	0.000100	0.000340	0.000369	0.836640	0.810832	
157.000000	0.000100	0.000338	0.000369	0.839383	0.813232	
158.000000	0.000100	0.000337	0.000369	0.841204	0.813329	
159.000000	0.000100	0.000337	0.000369	0.839690	0.813882	
160.000000	0.000100	0.000337	0.000368	0.840210	0.815680	
161.000000	0.000100	0.000336	0.000369	0.842682	0.814789	
162.000000	0.000100	0.000335	0.000369	0.842618	0.813946	
163.000000	0.000100	0.000337	0.000368	0.841260	0.813412	
164.000000	0.000100	0.000336	0.000369	0.842823	0.814402	
165.000000	0.000100	0.000336	0.000369	0.841858	0.813687	
166.000000	0.000100	0.000337	0.000368	0.841161	0.814334	
167.000000	0.000100	0.000335	0.000369	0.841946	0.814137	
168.000000	0.000100	0.000335	0.000370	0.842006	0.814039	
169.000000	0.000100	0.000335	0.000369	0.843496	0.815004	
170.000000	0.000100	0.000334	0.000369	0.844451	0.813976	
171.000000	0.000100	0.000334	0.000369	0.843362	0.813498	
172.000000	0.000100	0.000334	0.000369	0.843186	0.813647	
173.000000	0.000100	0.000334	0.000369	0.842690	0.814213	
174.000000	0.000100	0.000334	0.000368	0.844467	0.815851	
175.000000	0.000100	0.000332	0.000369	0.846181	0.814669	
176.000000	0.000010	0.000332	0.000368	0.846117	0.816417	
177.000000	0.000010	0.000333	0.000369	0.845465	0.814539	
178.000000	0.000010	0.000333	0.000368	0.844984	0.815618	
179.000000	0.000010	0.000333	0.000369	0.844303	0.814691	
180.000000	0.000010	0.000332	0.000369	0.846011	0.815724	
181.000000	0.000010	0.000331	0.000369	0.847976	0.815186	
182.000000	0.000010	0.000332	0.000368	0.843837	0.815736	
183.000000	0.000010	0.000333	0.000368	0.843801	0.814835	
184.000000	0.000010	0.000333	0.000368	0.844155	0.814939	
185.000000	0.000010	0.000333	0.000369	0.844216	0.814471	
186.000000	0.000010	0.000332	0.000368	0.845616	0.813853	
187.000000	0.000010	0.000331	0.000369	0.847199	0.815891	
188.000000	0.000010	0.000335	0.000369	0.842419	0.815904	
189.000000	0.000010	0.000333	0.000369	0.844750	0.814573	
190.000000	0.000010	0.000331	0.000369	0.846852	0.814585	
191.000000	0.000010	0.000332	0.000369	0.845737	0.815622	
192.000000	0.000010	0.000332	0.000369	0.845767	0.815457	
193.000000	0.000010	0.000331	0.000368	0.844973	0.815391	
194.000000	0.000010	0.000333	0.000369	0.844538	0.814610	
195.000000	0.000010	0.000333	0.000368	0.845247	0.816021	
196.000000	0.000010	0.000332	0.000369	0.845193	0.815722	
197.000000	0.000010	0.000334	0.000368	0.842841	0.814710	
198.000000	0.000010	0.000333	0.000369	0.845278	0.814496	
199.000000	0.000010	0.000331	0.000369	0.847131	0.815337	
200.000000	0.000010	0.000331	0.000368	0.846881	0.815508	
201.000000	0.000001	0.000331	0.000368	0.845904	0.815813	
202.000000	0.000001	0.000331	0.000368	0.847815	0.815708	
203.000000	0.000001	0.000333	0.000368	0.846181	0.815100	
204.000000	0.000001	0.000330	0.000368	0.845626	0.815874	
205.000000	0.000001	0.000332	0.000368	0.844678	0.816978	
206.000000	0.000001	0.000330	0.000369	0.847677	0.813930	
207.000000	0.000001	0.000332	0.000368	0.845568	0.814963	
208.000000	0.000001	0.000332	0.000369	0.845913	0.814841	
209.000000	0.000001	0.000332	0.000369	0.845290	0.815184	
210.000000	0.000001	0.000330	0.000368	0.848403	0.816829	
211.000000	0.000001	0.000330	0.000369	0.847707	0.816416	
212.000000	0.000001	0.000333	0.000368	0.844859	0.816566	
213.000000	0.000001	0.000331	0.000368	0.847311	0.815299	
214.000000	0.000001	0.000329	0.000369	0.848855	0.816131	
215.000000	0.000001	0.000331	0.000369	0.846680	0.816080	
216.000000	0.000001	0.000331	0.000369	0.847251	0.815624	
217.000000	0.000001	0.000333	0.000368	0.842775	0.815970	
218.000000	0.000001	0.000332	0.000368	0.846397	0.815898	
219.000000	0.000001	0.000331	0.000368	0.846382	0.815955	
220.000000	0.000001	0.000332	0.000369	0.845131	0.816264	
